# NVIDIA GeForce RTX 5090, 170 SMs; FLOP/cycle/SM is clock-free, TFLOP/s and GHz are as achieved
kind      CTAs   warps         ms    FLOP/cyc/SM     TFLOP/s        GHz
bf16       170       4      0.371          499.8       246.2      2.897
bf16       170       8      0.721          511.7       253.3      2.912
bf16       170      16      1.437          511.7       254.1      2.922
fp8        170       4      0.373          994.8       489.7      2.896
fp8        170       8      0.721         1023.1       506.4      2.911
fp8        170      16      1.444         1023.3       505.7      2.907
f8f6f4     170       4      0.375          994.8       487.2      2.881
f8f6f4     170       8      0.724         1023.1       504.4      2.900
f8f6f4     170      16      1.445         1023.3       505.5      2.906
mxfp8      170       4      0.214         1747.5       855.0      2.878
mxfp8      170       8      0.369         2016.3       990.1      2.889
mxfp8      170      16      0.741         2016.3       985.0      2.874
nvfp4      170       4      0.219         3495.0      1665.2      2.803
nvfp4      170       8      0.379         4032.7      1926.3      2.810
nvfp4      170      16      0.742         4032.6      1967.2      2.869
